ProductId,UserId,Predicted_Sentiment,Sentiment_Label
B005DUM9UQ,A3TWF9DQ6MU87E,1,Positive
B005DUM9UQ,AEFIZIJ1FK1BK,1,Positive
B005DUM9UQ,A8OFFIAL6XTOH,0,Negative
B000E7VI7S,A1KL2LAW08X6UQ,1,Positive
B000E7VI7S,AWCBF2ZWIN57F,1,Positive
B001GVISJC,A27TKQHFW0FB5N,1,Positive
B001GVISJC,A3BDOAPSF96WGQ,1,Positive
B006SQBRMA,ATYMT48R62ENE,1,Positive
B0059WXJKM,A25VFHVGI4CFTP,0,Negative
B001EPPI84,A3Q0IDQ03S0158,0,Negative
B001EPPI84,A27TZ4WBU7N0YF,1,Positive
B004X2KR36,A2W3ABLWMJ84NS,1,Positive
B004X2KR36,A26M5O53PHZTKN,1,Positive
B004X2KR36,A2AB7M9UCNBVN7,1,Positive
B005R8JE8O,A3H1EQD2PBC085,1,Positive
B0066DMI6Y,AB30HQTI5VOLR,1,Positive
B0066DMI6Y,AZLONLC8OZPEC,1,Positive
B003ZFRKGO,A2VOZX7YBT0D6D,1,Positive
B0019CW0HE,A1FD9E5C06UB6B,1,Positive
B0019CW0HE,AK2CXHH9VRZ2A,1,Positive
B0019CW0HE,A25BGFRHYHEZKK,1,Positive
B0019CW0HE,A37N9XZBB8JYOF,1,Positive
B0019CW0HE,A1T4L0Q47OZ9N,1,Positive
B0019CW0HE,A3IMXZE9FCUNOC,1,Positive
B0019CW0HE,A1EC57S6C2VLTL,1,Positive
B0019CW0HE,A1OGD72Y2Y26CF,1,Positive
B0019CW0HE,A7JWCYVPF7KCO,1,Positive
B0019CW0HE,ABG53EBZBKD23,1,Positive
B0019CW0HE,A3AF72GP4GVRY1,1,Positive
B0019CW0HE,A1DJAAKLPCJRZD,1,Positive
B0019CW0HE,A1BFNM27629VAV,1,Positive
B0019CW0HE,A18AAABCIJKC5Q,1,Positive
B0019CW0HE,A3UII2114114PI,1,Positive
B0019CW0HE,ABZ9F0D94YK45,1,Positive
B0019CW0HE,A2P6ACFZ8FTNVV,0,Negative
